company_name,nse,exchange
Jubilant Ingrevia Limited,JUBLINGREA,NSE
Jubilant Pharmova Limited,JUBLPHARMA,NSE
Juniper Hotels Limited,JUNIPER,NSE
Jupiter Life Line Hospitals Ltd,JLHL,NSE
Jupiter Wagons Limited,JWL,NSE
Just Dial Limited,JUSTDIAL,NSE
Jyothy Labs Limited,JYOTHYLAB,NSE
Jyoti CNC Automation Ltd,JYOTICNC,NSE
K.P.R. Mill Limited,KPRMILL,NSE
Kajaria Ceramics Limited,KAJARIACER,NSE
KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL,NSE
Kalyan Jewellers India Limited,KALYANKJIL,NSE
Kalyani Steels Limited,KSL,NSE
Kansai Nerolac Paints Ltd.,KANSAINER,NSE
Karur Vysya Bank Limited,KARURVYSYA,NSE
Kaveri Seed Company Limited,KSCL,NSE
Kaynes Technology India Limited,KAYNES,NSE
KEC International Limited,KEC,NSE
KEI Industries Limited,KEI,NSE
Kennametal India Ltd.,KENNAMET,NSE
Kewal Kiran Clothing Limited,KKCL,NSE
KEYSTONE REALTORS LIMITED,RUSTOMJEE,NSE
KFin Technologies Limited,KFINTECH,NSE
Kilburn Engineering Limited,KLBRENG-B,NSE
Kingfa Science & Technology India Ltd.,KINGFA,NSE
Kirloskar Brothers Limited,KIRLOSBROS,NSE
Kirloskar Ferrous Industries Limited,KIRLFER,NSE
Kirloskar Oil Engines Limited,KIRLOSENG,NSE
Kirloskar Pneumatic Company Limited,KIRLPNU,NSE
Knowledge Marine & Engineering Works Limited,KMEW,NSE
KNR Construction limited.,KNRCON,NSE
Kolte - Patil Developers Limited,KOLTEPATIL,NSE
Kotak Mahindra Bank Limited,KOTAKBANK,NSE
KPIT Technologies Limited,KPITTECH,NSE
KRISHNA INSTITUTE OF MEDICAL,KIMS,NSE
Krishna Institute Of Medical Sciences Limited,KIMS,NSE
KRN Heat Exchanger And Refrigeration Limited,KRN,NSE
Krsnaa Diagnostics Limited,KRSNAA,NSE
KSB Limited,KSB,NSE
KSH International Limited,KSHINTL,NSE
Kwality Walls (India) Limited,KWIL,NSE
Kwality Wall’s India Ltd,KWIL,NSE
L&T FINANCE HOLDINGS LTD,LTF,NSE
L&T Finance Limited,LTF,NSE
L&T Technology Services Limited,LTTS,NSE
La Opala RG Limited,LAOPALA,NSE
Landmark Cars Limited,LANDMARK,NSE
Larsen & Toubro Limited,LT,NSE
Latent View Analytics Ltd.,LATENTVIEW,NSE
Laurus Labs Limited,LAURUSLABS,NSE
Laxmi Dental Limited,LAXMIDENTL,NSE
LE TRAVENUES TECHNOLOGY LTD,IXIGO,NSE
Leela Palaces Hotels & Resorts Limited,THELEELA,NSE
Lemon Tree Hotels Limited,LEMONTREE,NSE
LENSKART SOLUTIONS LIMITED,LENSKART,NSE
LG Balakrishnan & Bros Limited,LGBBROSLTD,NSE
LG Electronics India Limited,LGEINDIA,NSE
LIC Housing Finance Limited,LICHSGFIN,NSE
Linde India Limited,LINDEINDIA,NSE
Lloyds Metals And Energy Limited,LLOYDSME,NSE
LMW Limited,LMW,NSE
Lodha Developers Limited,LODHA,NSE
LT Foods Limited,LTFOODS,NSE
LTIMindtree Limited,LTIM,NSE
Lumax Auto Technologies Limited,LUMAXTECH,NSE
Lumax Industries Ltd,LUMAXIND,NSE
Lupin Limited,LUPIN,NSE
Mahanagar Gas Limited,MGL,NSE
Maharashtra Scooters Limited,MAHSCOOTER,NSE
Maharashtra Seamless Ltd.,MAHSEAMLES,NSE
Mahindra & Mahindra Financial Services Limited,M&MFIN,NSE
Mahindra & Mahindra Limited,M&M,NSE
Mahindra Holidays & Resorts Ind Ltd,MHRIL,NSE
Mahindra Lifespace Developers Limited,MAHLIFE,NSE
Mahindra Logistics Ltd.,MAHLOG,NSE
Malco Energy Limited,MALCO,BSE
Man Infraconstruction Limited,MANINFRA,NSE
Manappuram Finance Limited,MANAPPURAM,NSE
Mankind Pharma Limited,MANKIND,NSE
Marathon Nextgen Realty Limited,MARATHON,NSE
Marico Limited,MARICO,NSE
Marksans Pharma Limited,MARKSANS,NSE
Maruti Suzuki India Limited,MARUTI,NSE
Mas Financial Services Limited,MASFIN,NSE
Mastek Limited,MASTEK,NSE
MAX ESTATES LIMITED,MAXESTATES,NSE
Max Financial Services Limited,MFSL,NSE
Max Healthcare Institute Limited,MAXHEALTH,NSE
Mazagon Dock Shipbuilders Limited,MAZDOCK,NSE
MEDI ASSIST HEALTHCARE SERVICES LIMITED,MEDIASSIST,NSE
MedPlus Health Services Limited,MEDPLUS,NSE
Meesho Ltd.,MEESHO,NSE
Metro Brands Limited,METROBRAND,NSE
Metropolis Healthcare Limited,METROPOLIS,NSE
Midwest Limited,MIDWESTLTD,NSE
MINDA CORPORATION LIMITED,MINDACORP,NSE
Minda Industries Ltd.,UNOMINDA,NSE
Mishra Dhatu Nigam Limited,MIDHANI,NSE
MM FORGINGS LTD,MMFL,NSE
MOIL Limited,MOIL,NSE
Mold-Tek Packaging Limited,MOLDTKPAC,NSE
Motherson Sumi Wiring India Ltd.,MSUMI,NSE
Motilal Oswal Financial Services Limited,MOTILALOFS,NSE
MphasiS Limited.,MPHASIS,NSE
MRF Limited,MRF,NSE
Mrs. Bectors Food Specialities Limited,BECTORFOOD,NSE
MTAR Technologies Limited,MTARTECH,NSE
Multi Commodity Exchange of India Limited,MCX,NSE
Muthoot Finance Limited,MUTHOOTFIN,NSE
Narayana Hrudayalaya Limited,NH,NSE
NATCO PHARMA LTD,NATCOPHARM,NSE
National Aluminium Company Limited,NATIONALUM,NSE
National Building Construction Corp,NBCC,NSE
